turns,accelerateCost,shellCost
2,14,992
2,14,992
2,14,992
3,18,664
3,18,664
3,18,664
4,22,3299
4,22,3299
4,22,3299
5,27,2210
5,27,2210
5,27,2210
6,33,1481
6,33,1481
6,33,1481
7,40,7351
7,40,7351
7,40,7351
8,49,4925
8,49,4925
8,49,4925
9,60,3299
9,60,3299
9,60,3299
10,74,16375
10,74,16375
10,74,16375
11,90,10971
11,90,10971
11,90,10971
12,110,7351
12,110,7351
12,110,7351
13,135,4925
13,135,4925
13,135,4925
14,164,24441
14,164,24441
14,164,24441
15,201,16375
15,201,16375
15,201,16375
16,246,10971
16,246,10971
16,246,10971
17,300,7351
17,300,7351
17,300,7351
18,367,4925
18,367,4925
18,367,4925
19,449,3299
19,449,3299
19,449,3299
20,548,2210
20,548,2210
20,548,2210
21,670,10971
21,670,10971
21,670,10971
22,818,7351
22,818,7351
22,818,7351
23,1000,4925
23,1000,4925
23,1000,4925
24,1222,3299
24,1222,3299
24,1222,3299
25,818,2210
25,818,2210
25,818,2210
26,1000,1481
26,1000,1481
26,1000,1481
27,670,7351
27,670,7351
27,670,7351
28,449,4925
28,449,4925
28,449,4925
29,548,3299
29,548,3299
29,548,3299
30,670,2210
30,670,2210
30,670,2210
31,449,1481
31,449,1481
31,449,1481
32,548,992
32,548,992
32,548,992
33,367,664
33,367,664
33,367,664
34,246,445
34,246,445
34,246,445
35,164,298
35,164,298
35,164,298
36,201,200
36,201,200
36,201,200
37,135,133
37,135,133
37,135,133
38,90,664
38,90,664
38,90,664
39,110,445
39,110,445
39,110,445
40,135,298
40,135,298
40,135,298
41,90,200
41,90,200
41,90,200
42,110,133
42,110,133
42,110,133
43,74,89
43,74,89
43,74,89
44,49,60
44,49,60
44,49,60
45,33,40
45,33,40
45,33,40
46,40,200
46,40,200
46,40,200
47,27,133
47,27,133
47,27,133
48,33,664
48,33,664
48,33,664
49,22,445
49,22,445
49,22,445
50,14,298
50,14,298
50,14,298
51,10,200
51,10,200
51,10,200
52,6,133
52,6,133
52,6,133
53,4,89
53,4,89
53,4,89
54,5,60
54,5,60
54,5,60
55,6,40
55,6,40
55,6,40
56,4,27
56,4,27
56,4,27
57,3,18
57,3,18
57,3,18
58,2,12
58,2,12
58,2,12
59,1,8
59,1,8
59,1,8
60,1,5
60,1,5
60,1,5
61,2,3
61,2,3
61,2,3
62,2,2
62,2,2
62,2,2
63,1,12
63,1,12
63,1,12
64,1,8
64,1,8
64,1,8
65,1,5
65,1,5
65,1,5
66,1,3
66,1,3
66,1,3
67,1,2
67,1,2
67,1,2
68,1,1
68,1,1
68,1,1
69,0,8
69,0,8
69,0,8
70,0,5
70,0,5
70,0,5
71,0,3
71,0,3
71,0,3
72,0,2
72,0,2
72,0,2
73,0,1
73,0,1
73,0,1
74,0,1
74,0,1
74,0,1
75,0,0
75,0,0
75,0,0
76,0,0
76,0,0
76,0,0
77,0,0
77,0,0
77,0,0
78,0,1
78,0,1
78,0,1
79,0,1
79,0,1
79,0,1
80,0,0
80,0,0
80,0,0
81,0,0
81,0,0
81,0,0
82,0,0
82,0,0
82,0,0
83,0,0
83,0,0
83,0,0
84,0,0
84,0,0
84,0,0
85,0,0
85,0,0
85,0,0
86,0,0
86,0,0
86,0,0
87,0,0
87,0,0
87,0,0
88,0,0
88,0,0
88,0,0
89,0,0
89,0,0
89,0,0
90,0,0
90,0,0
90,0,0
91,0,0
91,0,0
91,0,0
92,0,2
92,0,2
92,0,2
93,0,1
93,0,1
93,0,1
93,0,1
93,0,1
93,0,1
